2016 Championships  2
History  5
All-Time Team Results  8
DIVISION I WOMEN’S 
CROSS COUNTRY 
CHAMPIONSHIPS 
RECORDS BOOK2016 Championships  3 
 2016 INDIVIDUAL 
RESULTS
1 Schweizer, Karissa, Missouri,  19:41.7
2 Finn, Erin, Michigan,                 19:44.3
3 Rohrer, Anna, Notre Dame,  19:44.6
4 Rainsberger, Katie, Oregon,  19:51.1
5 Lokedi, Sharon, Kansas,  19:52.2
6 Peloquin, Brenna, Boise State,  19:54.6
7 Purrier, Elinor, New Hampshire,  19:56.9
8 Neale, Amy-Eloise, Washington,  19:58.3
9 Barnett, Grace, Clemson,  20:02.4
10 Taylor, Charlotte, San Francisco,  20:02.7
11 Receveur, Katherine, Indiana,  20:04.0
12 Schulist, Rachele, Michigan State,  20:07.0
13 Montgomery, Ashley, Penn,  20:07.1
14 Cash, Alli, Oregon,                 20:08.2
15 Chikotas, Elizabeth, Penn State,  20:09.4
16 Werner, Taylor, Arkansas,  20:10.5
17 Kemp, Erika, North Carolina St.,  20:10.6
18 Evenson, Avery, Michigan,  20:11.5
19 Wright, Alice, New Mexico,  20:13.2
20 Piccirillo, Angel, Villanova,  20:13.8
21 Nadel, Samantha, Oregon,  20:14.1
22 Jones, Dani, Colorado,                 20:14.2
23 Bilo, Peyton, Cal Poly,                 20:14.4
24 McDermitt, Jordann, Eastern Michigan ,  20:14.6
25 Koon, Rachel, North Carolina St.,  20:15.0
26 Benner, Kaitlyn, Colorado,  20:15.6
27 Kempfer, Jamie, Missouri,  20:16.3
28 Thackery, Calli, New Mexico,  20:17.4
29 LaRocco, Lauren, Portland,  20:17.8
30 Sereno, Gina, Michigan,  20:19.5
31 Imer, Charlotte, Eastern Kentucky,  20:19.8
32 Price, Rhianwedd, Miss State,  20:20.2
33 Kunc, Katy, Kentucky,                 20:20.3
34 Birk, Erica, BYU,                  20:20.7
35 Smith, Courtney, Harvard,  20:21.1
36 Hunsberger, Jillian, Penn State,  20:21.6
37 O’Keeffe, Fiona, Stanford,  20:23.3
38 Aragon, Christina, Stanford,  20:23.5
39 Caldwell, Mackenzie, Colorado,  20:23.8
40 Hurta, Sage, Colorado,                  20:24.1
41 Heffernan, Annie, Notre Dame,  20:24.5
42 Scholl, Tabor, Colorado,                 20:24.9
43 Morley, Makena, Colorado,  20:27.7
44 Montoya, Maggie, Baylor,  20:28.6
45 Blaney, Anne-Marie, UCF,  20:29.6
46 Trevisan, Madeline, Michigan,  20:29.7
47 F razier, Wesley, North Carolina St. ,  20:29.8
48 Smith, Jaci, Air Force,                 20:30.1
49 Wiersma, Alexis, Michigan State,  20:30.3
50 Roberts, Aubrey, Northwestern,  20:31.3
51 Strandemo, Madeline, Minnesota,  20:31.6
52 Aragon, Danielle, Notre Dame,  20:32.4
53 Murphy, Grayson, Utah,                 20:33.3
54 Disanza, Sarah, Wisconsin,  20:33.4
55 Paladino, Millie, Providence,  20:34.3
56 Turner, Katherine, Butler,  20:34.3
57 Tsai, Sara, Vanderbilt,                 20:34.4
58 Drazba, Maggie, West Virginia,  20:34.8
59 Johnson, Carolina, UCLA,  20:36.260 McInturff, Hannah, Utah,  20:36.4
61 Maton, Ashley, Oregon,                 20:37.0
62 Burkard, Elena, San Francisco,  20:37.2
63 Eder, Veronica, Auburn,                 20:37.5
64 Schmaedick, Maggie, Oregon,  20:38.2
65 Phelan, Jaimie, Michigan,  20:38.2
66 Price, Ffion, Miss State,                 20:38.8
67 Fraser, Vanessa, Stanford,  20:39.1
68 Ilarda, Brianna, Providence,  20:40.7
69 Rome, Regan, William and Mary,  20:40.8
70 Cizmas, Natalie, Eastern Michigan,   20:41.1
71 Ummels, Bo, Mississippi,  20:41.8
72 Young, Laura, BYU,                 20:41.8
73 Cardama Baez, Carmela, Florida State, 20:41.8
74 Skold, Samantha, Air Force,  20:42.1
75 Connor, Sophie, New Mexico,  20:42.1
76 Bullough, Holly, Michigan State,  20:43.1
77 Frisbie, Anne, Iowa State,  20:43.7
78 Neal, Kaitlyn, Washington,  20:44.0
79 Hull, Jessica, Oregon,                 20:44.3
80 Edwards, Kaela, Oklahoma State,  20:44.4
81 Bogdanova, Alsu, Eastern Michigan ,  20:44.5
82 Hoj, Olivia, BYU,                 20:45.1
83 Katz, Danielle, Stanford,  20:45.9
84 Rudawsky, Alyssa, North Carolina St.,  20:46.4
85 Cleirigh Buttner, Siofra, Villanova,  20:46.4
86 Reiter, Sarah, Eastern Washington,  20:46.6
87 Pyzik, Weronika, San Francisco,  20:46.6
88 Sughroue, Molly, Oklahoma State,  20:47.1
89 Knights, Bethan, California,  20:47.4
90 Morrissey, Jamie, Michigan,  20:47.7
91 Markey, Claire, UCLA,                 20:47.7
92 Koech, Winny, UTEP,                 20:47.8
93 Whiting, Cleo, Penn,                 20:48.6
94 Collins, Sarah, Providence,  20:49.2
95 Ummels, Britt, Mississippi,  20:49.6
96 Monson, Alicia, Wisconsin,  20:49.7
97 Forsey, Jillian, West Virginia,  20:49.8
98 Melian, Christina, Stony Brook,  20:50.1
99 Brauer, Isabelle, San Francisco,  20:50.7
100 Donaghu, Ella, Stanford,  20:50.8
101 Child, Ellie, Weber State,  20:50.9
