2019 Championships  2
History  5
All-Time Team Results  9
DIVISION I WOMEN’S 
CROSS COUNTRY 
CHAMPIONSHIPS 
RECORDS BOOK2019 Championships  3 
 2019 INDIVIDUAL 
RESULTS
Pos. Name, School Time
1 Kelati, Weini, New Mexico 19:47.5
2 Monson, Alicia, Wisconsin 19:57.1
3 Izzo, Katie, Arkansas 19:59.3
4 Werner, Taylor, Arkansas 20:11.1
5 Wayment, Courtney, BYU 20:16.1
6 Birk, Erica, BYU 20:16.1
7 Orton, Whittni, BYU 20:17.0
8 Donaghu, Ella, Stanford 20:17.9
9 Kurgat, Ednah, New Mexico 20:18.4
10 Henes, Elly, NC State 20:20.7
11 Lawson, Jessica, Stanford 20:24.6
12 Smart, Melany, Washington 20:24.8
13 Carnahan, Savannah, Furman 20:25.1
14 Kimeli, Joyce, Auburn 20:26.2
15 Logue, Cailie, Iowa St. 20:26.8
16 Born, Molly, Oklahoma St. 20:28.2
17 Rohrer, Anna, Notre Dame 20:28.3
18 Somers, Taylor, Oklahoma St. 20:30.0
19 Richardson, Aoibhe, San 
Francisco20:30.1
20 Jennings, Gabrielle, Furman 20:30.9
21 Clark, Devin, Arkansas 20:32.2
22 Chmiel, Kelsey, NC State 20:32.5
23 Steelman, Hannah, Wofford 20:32.6
24 Morenaite, Egle, Iona 20:32.6
25 VanderLende, Ericka, Michigan 20:32.8
26 Davis, Amy, WIsconsin 20:34.7
27 O’Keeffe, Fiona, Stanford 20:36.8
28 Viljoen, Carina, Arkansas 20:39.8
29 Olivere, Lydia, Villanova 20:39.9
30 Noe, Camila, Montana St. 20:40.0
31 Hertenstein, Bailey, Indiana 20:40.1
32 Poe, Jeralyn, Michigan St. 20:40.3
33 Rainsberger, Katie, Washington 20:41.6
34 Fuller, Annie, Michigan St. 20:42.4
35 Nuttall, Hannah, New Mexico 20:42.9
36 Mettler, Maria, Air Force 20:43.1
37 Rice, Christina, UCLA 20:44.2
38 Hurta, Sage, Colorado 20:44.3
39 Norris, Mahala, Air Force 20:46.2
40 Drop, Jessica, Georgia 20:48.4
41 Nichols, Abby, Ohio St. 20:50.2
42 Malaspina, Mikayla, Northern Ariz. 20:52.9
43 Bent, Holly, Colorado 20:54.0
44 Black, Lotte, Rhode Island 20:54.0
45 Drop, Samantha, Georgia 20:54.3
46 Magness, Jenna, Michigan St. 20:54.6
47 Koskei, Winny, Witchita St. 20:55.1
48 Hofstad, Paige, North Carolina 20:55.7
49 Gram, Lynsie, Michigan St. 20:56.4
50 Tutt, Ashley, Northern Ill. 20:57.5
51 Kennedy, Isabelle, Boston 
College20:58.6
52 Niggemann, Alissa, Wisconsin 20:58.7
53 Archer, Abi, Stanford 20:58.7
54 Clairmonte, Dominique, NC State 20:59.1
55 Cohen, Adva, New Mexico 20:59.2
56 Hoj, Olivia, BYU 20:59.4
57 Pataki, Anna, Portland 21:00.2Pos. Name, School Time
58 Schmitt, Sarah, Indiana 21:00.3
59 Chemutai, Ivine, Louisville 21:00.7
60 Camp, Anna, BYU 21:01.3
61 Blanks, Lindsey, Air Force 21:01.4
62 Judd, Jodie, Florida St. 21:01.5
63 Heymach, Julia, Stanford 21:01.9
64 Pray, Alison, Southern Utah 21:02.0
65 McGrath, Allison, Illinois 21:02.3
66 Kostarellis, Anna, Xavier (OH) 21:02.5
67 Klopfer, Caitlin, Tulsa 21:02.8
68 Howlett, Mariah, NC State 21:02.9
69 Skyring, Maudie, Florida St. 21:04.5
70 Warren, Kelsie, Texas A&M 21:04.7
71 Gallagher, Mikayla, Air Force 21:05.0
