Place,Gender,Time,Distance,Level,Year
1,1,1420.4,8,3,2016
2,1,1449.0,8,3,2016
3,1,1449.7,8,3,2016
4,1,1458.0,8,3,2016
5,1,1458.9,8,3,2016
6,1,1462.9,8,3,2016
7,1,1468.1,8,3,2016
8,1,1472.5,8,3,2016
9,1,1474.3,8,3,2016
10,1,1477.9,8,3,2016
11,1,1478.1,8,3,2016
12,1,1479.6,8,3,2016
13,1,1479.8,8,3,2016
14,1,1480.1,8,3,2016
15,1,1480.5,8,3,2016
16,1,1480.8,8,3,2016
17,1,1481.2,8,3,2016
18,1,1481.6,8,3,2016
19,1,1481.9,8,3,2016
20,1,1482.4,8,3,2016
21,1,1483.5,8,3,2016
22,1,1485.3,8,3,2016
23,1,1486.7,8,3,2016
24,1,1487.0,8,3,2016
25,1,1487.3,8,3,2016
