Place,Gender,Time,Distance,Level,Year
1,1,1430.2,8,4,2016
2,1,1437.1,8,4,2016
3,1,1469.3,8,4,2016
4,1,1471.4,8,4,2016
5,1,1475.5,8,4,2016
6,1,1482.4,8,4,2016
7,1,1486.8,8,4,2016
8,1,1487.9,8,4,2016
9,1,1491.0,8,4,2016
10,1,1491.7,8,4,2016
11,1,1493.6,8,4,2016
12,1,1494.2,8,4,2016
13,1,1494.8,8,4,2016
14,1,1499.0,8,4,2016
15,1,1499.0,8,4,2016
16,1,1499.8,8,4,2016
17,1,1500.7,8,4,2016
18,1,1501.2,8,4,2016
19,1,1502.8,8,4,2016
20,1,1502.9,8,4,2016
21,1,1507.5,8,4,2016
22,1,1508.5,8,4,2016
23,1,1509.1,8,4,2016
24,1,1509.3,8,4,2016
25,1,1510.1,8,4,2016
26,1,1510.4,8,4,2016
27,1,1510.5,8,4,2016
13,1,1512.3,8,4,2016
29,1,1513.0,8,4,2016
30,1,1513.7,8,4,2016
31,1,1515.7,8,4,2016
32,1,1517.0,8,4,2016
33,1,1518.4,8,4,2016
34,1,1518.9,8,4,2016
35,1,1519.1,8,4,2016
36,1,1520.0,8,4,2016
37,1,1520.7,8,4,2016
38,1,1522.0,8,4,2016
39,1,1523.8,8,4,2016
40,1,1524.1,8,4,2016
41,1,1524.6,8,4,2016
42,1,1524.9,8,4,2016
43,1,1530.3,8,4,2016
44,1,1531.1,8,4,2016
45,1,1531.7,8,4,2016
46,1,1533.7,8,4,2016
47,1,1534.9,8,4,2016
48,1,1535.6,8,4,2016
49,1,1535.9,8,4,2016
50,1,1536.1,8,4,2016
51,1,1536.2,8,4,2016
52,1,1537.5,8,4,2016
53,1,1537.6,8,4,2016
54,1,1537.9,8,4,2016
55,1,1540.1,8,4,2016
56,1,1540.1,8,4,2016
57,1,1540.1,8,4,2016
58,1,1540.6,8,4,2016
59,1,1541.2,8,4,2016
60,1,1542.2,8,4,2016
61,1,1542.5,8,4,2016
62,1,1544.3,8,4,2016
63,1,1544.9,8,4,2016
64,1,1545.9,8,4,2016
65,1,1546.3,8,4,2016
66,1,1547.2,8,4,2016
67,1,1547.8,8,4,2016
68,1,1547.9,8,4,2016
69,1,1549.0,8,4,2016
70,1,1549.1,8,4,2016
71,1,1549.8,8,4,2016
72,1,1549.8,8,4,2016
73,1,1550.9,8,4,2016
74,1,1551.3,8,4,2016
75,1,1551.8,8,4,2016
76,1,1552.1,8,4,2016
77,1,1552.3,8,4,2016
78,1,1552.4,8,4,2016
79,1,1552.6,8,4,2016
80,1,1553.2,8,4,2016
81,1,1553.5,8,4,2016
82,1,1553.7,8,4,2016
83,1,1553.8,8,4,2016
84,1,1554.4,8,4,2016
85,1,1554.5,8,4,2016
86,1,1555.0,8,4,2016
87,1,1555.1,8,4,2016
88,1,1555.8,8,4,2016
89,1,1556.2,8,4,2016
90,1,1556.5,8,4,2016
91,1,1556.7,8,4,2016
92,1,1557.2,8,4,2016
13,1,1557.9,8,4,2016
94,1,1558.6,8,4,2016
95,1,1558.6,8,4,2016
96,1,1558.9,8,4,2016
97,1,1559.0,8,4,2016
98,1,1559.2,8,4,2016
99,1,1560.2,8,4,2016
100,1,1560.3,8,4,2016
101,1,1560.6,8,4,2016
102,1,1561.1,8,4,2016
103,1,1561.3,8,4,2016
104,1,1561.4,8,4,2016
105,1,1561.5,8,4,2016
106,1,1562.6,8,4,2016
107,1,1563.0,8,4,2016
108,1,1563.7,8,4,2016
109,1,1564.7,8,4,2016
110,1,1565.2,8,4,2016
111,1,1565.5,8,4,2016
112,1,1565.6,8,4,2016
113,1,1565.7,8,4,2016
114,1,1565.9,8,4,2016
115,1,1566.8,8,4,2016
116,1,1567.1,8,4,2016
117,1,1567.5,8,4,2016
118,1,1567.7,8,4,2016
119,1,1568.8,8,4,2016
120,1,1569.0,8,4,2016
121,1,1570.1,8,4,2016
122,1,1570.5,8,4,2016
123,1,1570.8,8,4,2016
124,1,1570.9,8,4,2016
125,1,1571.4,8,4,2016
126,1,1572.3,8,4,2016
127,1,1573.4,8,4,2016
128,1,1574.0,8,4,2016
129,1,1574.4,8,4,2016
130,1,1574.8,8,4,2016
131,1,1574.9,8,4,2016
132,1,1575.4,8,4,2016
133,1,1575.4,8,4,2016
134,1,1575.5,8,4,2016
135,1,1576.1,8,4,2016
136,1,1576.1,8,4,2016
137,1,1576.2,8,4,2016
138,1,1576.3,8,4,2016
139,1,1576.8,8,4,2016
140,1,1577.4,8,4,2016
141,1,1577.5,8,4,2016
142,1,1577.5,8,4,2016
143,1,1577.5,8,4,2016
144,1,1578.3,8,4,2016
145,1,1578.4,8,4,2016
146,1,1578.6,8,4,2016
147,1,1579.0,8,4,2016
148,1,1579.1,8,4,2016
149,1,1579.3,8,4,2016
150,1,1579.9,8,4,2016
151,1,1580.6,8,4,2016
152,1,1580.7,8,4,2016
153,1,1581.0,8,4,2016
154,1,1581.1,8,4,2016
155,1,1581.6,8,4,2016
156,1,1582.2,8,4,2016
157,1,1582.5,8,4,2016
158,1,1582.9,8,4,2016
159,1,1583.2,8,4,2016
160,1,1583.5,8,4,2016
161,1,1583.6,8,4,2016
162,1,1584.0,8,4,2016
163,1,1584.3,8,4,2016
164,1,1584.6,8,4,2016
165,1,1585.0,8,4,2016
166,1,1585.3,8,4,2016
167,1,1585.4,8,4,2016
168,1,1586.1,8,4,2016
169,1,1587.3,8,4,2016
170,1,1587.5,8,4,2016
171,1,1588.2,8,4,2016
172,1,1588.5,8,4,2016
173,1,1588.7,8,4,2016
174,1,1589.3,8,4,2016
175,1,1589.5,8,4,2016
176,1,1589.8,8,4,2016
177,1,1591.1,8,4,2016
178,1,1591.5,8,4,2016
179,1,1591.7,8,4,2016
180,1,1591.8,8,4,2016
181,1,1592.3,8,4,2016
182,1,1593.2,8,4,2016
183,1,1593.3,8,4,2016
184,1,1593.4,8,4,2016
185,1,1593.7,8,4,2016
186,1,1593.7,8,4,2016
187,1,1594.4,8,4,2016
188,1,1594.7,8,4,2016
189,1,1595.1,8,4,2016
190,1,1595.4,8,4,2016
191,1,1595.6,8,4,2016
192,1,1595.6,8,4,2016
193,1,1596.7,8,4,2016
194,1,1597.4,8,4,2016
195,1,1598.3,8,4,2016
196,1,1598.4,8,4,2016
197,1,1598.5,8,4,2016
198,1,1599.4,8,4,2016
199,1,1599.4,8,4,2016
200,1,1599.5,8,4,2016
201,1,1600.0,8,4,2016
202,1,1600.1,8,4,2016
203,1,1600.6,8,4,2016
204,1,1601.2,8,4,2016
205,1,1601.5,8,4,2016
206,1,1602.1,8,4,2016
207,1,1602.1,8,4,2016
208,1,1604.5,8,4,2016
209,1,1605.2,8,4,2016
210,1,1605.3,8,4,2016
211,1,1606.0,8,4,2016
212,1,1606.9,8,4,2016
213,1,1606.9,8,4,2016
214,1,1607.2,8,4,2016
