Place,Gender,Time,Distance,Level,Year
1,2,1036,5,4,2018
2,2,1039,5,4,2018
3,2,1050,5,4,2018
4,2,1056,5,4,2018
5,2,1057,5,4,2018
6,2,1058,5,4,2018
7,2,1059,5,4,2018
8,2,1062,5,4,2018
9,2,1065,5,4,2018
10,2,1066,5,4,2018
11,2,1069,5,4,2018
12,2,1069,5,4,2018
13,2,1070,5,4,2018
14,2,1071,5,4,2018
15,2,1073,5,4,2018
16,2,1073,5,4,2018
1,2,1074,5,4,2018
1,2,1074,5,4,2018
1,2,1076,5,4,2018
20,2,1077,5,4,2018
21,2,1077,5,4,2018
22,2,1080,5,4,2018
23,2,1080,5,4,2018
24,2,1080,5,4,2018
2,2,1081,5,4,2018
26,2,1081,5,4,2018
2,2,1081,5,4,2018
28,2,1081,5,4,2018
29,2,1081,5,4,2018
30,2,1082,5,4,2018
31,2,1085,5,4,2018
32,2,1086,5,4,2018
33,2,1086,5,4,2018
3,2,1088,5,4,2018
35,2,1088,5,4,2018
36,2,1090,5,4,2018
37,2,1093,5,4,2018
38,2,1094,5,4,2018
39,2,1094,5,4,2018
40,2,1095,5,4,2018
41,2,1096,5,4,2018
4,2,1096,5,4,2018
43,2,1098,5,4,2018
44,2,1098,5,4,2018
45,2,1098,5,4,2018
4,2,1098,5,4,2018
47,2,1099,5,4,2018
48,2,1099,5,4,2018
4,2,1101,5,4,2018
5,2,1101,5,4,2018
51,2,1102,5,4,2018
52,2,1102,5,4,2018
53,2,1103,5,4,2018
54,2,1103,5,4,2018
55,2,1104,5,4,2018
56,2,1105,5,4,2018
57,2,1105,5,4,2018
58,2,1106,5,4,2018
59,2,1106,5,4,2018
60,2,1106,5,4,2018
61,2,1107,5,4,2018
6,2,1108,5,4,2018
6,2,1108,5,4,2018
64,2,1109,5,4,2018
65,2,1109,5,4,2018
66,2,1109,5,4,2018
67,2,1109,5,4,2018
68,2,1109,5,4,2018
69,2,1109,5,4,2018
70,2,1110,5,4,2018
71,2,1110,5,4,2018
72,2,1111,5,4,2018
73,2,1111,5,4,2018
74,2,1111,5,4,2018
7,2,1112,5,4,2018
76,2,1112,5,4,2018
7,2,1113,5,4,2018
78,2,1114,5,4,2018
79,2,1115,5,4,2018
80,2,1115,5,4,2018
81,2,1116,5,4,2018
82,2,1117,5,4,2018
83,2,1118,5,4,2018
8,2,1118,5,4,2018
85,2,1119,5,4,2018
8,2,1119,5,4,2018
8,2,1119,5,4,2018
8,2,1119,5,4,2018
89,2,1119,5,4,2018
90,2,1120,5,4,2018
9,2,1121,5,4,2018
92,2,1122,5,4,2018
93,2,1122,5,4,2018
9,2,1122,5,4,2018
95,2,1123,5,4,2018
96,2,1123,5,4,2018
97,2,1124,5,4,2018
98,2,1124,5,4,2018
9,2,1124,5,4,2018
10,2,1124,5,4,2018
101,2,1125,5,4,2018
102,2,1125,5,4,2018
10,2,1125,5,4,2018
104,2,1126,5,4,2018
10,2,1127,5,4,2018
106,2,1128,5,4,2018
107,2,1128,5,4,2018
108,2,1129,5,4,2018
10,2,1129,5,4,2018
110,2,1129,5,4,2018
111,2,1129,5,4,2018
112,2,1129,5,4,2018
11,2,1130,5,4,2018
11,2,1130,5,4,2018
11,2,1131,5,4,2018
116,2,1131,5,4,2018
117,2,1132,5,4,2018
118,2,1132,5,4,2018
11,2,1133,5,4,2018
120,2,1133,5,4,2018
12,2,1133,5,4,2018
12,2,1134,5,4,2018
12,2,1134,5,4,2018
124,2,1135,5,4,2018
12,2,1137,5,4,2018
126,2,1137,5,4,2018
127,2,1138,5,4,2018
128,2,1139,5,4,2018
129,2,1140,5,4,2018
130,2,1140,5,4,2018
131,2,1140,5,4,2018
132,2,1141,5,4,2018
133,2,1141,5,4,2018
134,2,1142,5,4,2018
135,2,1142,5,4,2018
13,2,1142,5,4,2018
137,2,1142,5,4,2018
