Place,Gender,Time,Distance,Level,Year
1,1,1463,8,4,2009
2,1,1464,8,4,2009
3,1,1476,8,4,2009
4,1,1482,8,4,2009
5,1,1515,8,4,2009
6,1,1517,8,4,2009
7,1,1522,8,4,2009
8,1,1525,8,4,2009
9,1,1526,8,4,2009
10,1,1526,8,4,2009
11,1,1527,8,4,2009
12,1,1529,8,4,2009
13,1,1530,8,4,2009
14,1,1534,8,4,2009
15,1,1535,8,4,2009
16,1,1538,8,4,2009
17,1,1538,8,4,2009
18,1,1539,8,4,2009
19,1,1542,8,4,2009
20,1,1542,8,4,2009
21,1,1543,8,4,2009
22,1,1543,8,4,2009
23,1,1544,8,4,2009
24,1,1545,8,4,2009
25,1,1546,8,4,2009
26,1,1547,8,4,2009
27,1,1547,8,4,2009
28,1,1547,8,4,2009
29,1,1549,8,4,2009
30,1,1549,8,4,2009
31,1,1551,8,4,2009
32,1,1553,8,4,2009
33,1,1556,8,4,2009
34,1,1557,8,4,2009
35,1,1557,8,4,2009
36,1,1558,8,4,2009
37,1,1558,8,4,2009
38,1,1558,8,4,2009
39,1,1559,8,4,2009
40,1,1559,8,4,2009
41,1,1560,8,4,2009
42,1,1560,8,4,2009
43,1,1562,8,4,2009
44,1,1563,8,4,2009
45,1,1563,8,4,2009
46,1,1563,8,4,2009
47,1,1563,8,4,2009
48,1,1566,8,4,2009
49,1,1566,8,4,2009
50,1,1567,8,4,2009
51,1,1567,8,4,2009
52,1,1568,8,4,2009
53,1,1570,8,4,2009
54,1,1570,8,4,2009
55,1,1571,8,4,2009
56,1,1571,8,4,2009
57,1,1571,8,4,2009
58,1,1571,8,4,2009
59,1,1573,8,4,2009
60,1,1573,8,4,2009
61,1,1574,8,4,2009
62,1,1574,8,4,2009
63,1,1575,8,4,2009
64,1,1575,8,4,2009
65,1,1576,8,4,2009
66,1,1576,8,4,2009
67,1,1579,8,4,2009
68,1,1579,8,4,2009
69,1,1580,8,4,2009
70,1,1581,8,4,2009
71,1,1582,8,4,2009
72,1,1582,8,4,2009
73,1,1582,8,4,2009
74,1,1582,8,4,2009
