Place,Gender,Time,Distance,Level,Year
1,2,1062,5,4,2010
2,2,1066,5,4,2010
3,2,1071,5,4,2010
4,2,1072,5,4,2010
5,2,1073,5,4,2010
6,2,1080,5,4,2010
7,2,1084,5,4,2010
8,2,1093,5,4,2010
9,2,1094,5,4,2010
10,2,1095,5,4,2010
11,2,1096,5,4,2010
12,2,1097,5,4,2010
13,2,1097,5,4,2010
14,2,1098,5,4,2010
15,2,1100,5,4,2010
16,2,1100,5,4,2010
17,2,1100,5,4,2010
18,2,1101,5,4,2010
19,2,1102,5,4,2010
20,2,1102,5,4,2010
21,2,1103,5,4,2010
22,2,1103,5,4,2010
23,2,1104,5,4,2010
24,2,1104,5,4,2010
25,2,1106,5,4,2010
26,2,1110,5,4,2010
27,2,1110,5,4,2010
28,2,1112,5,4,2010
29,2,1112,5,4,2010
30,2,1113,5,4,2010
31,2,1115,5,4,2010
32,2,1116,5,4,2010
33,2,1117,5,4,2010
34,2,1120,5,4,2010
35,2,1121,5,4,2010
36,2,1121,5,4,2010
37,2,1121,5,4,2010
38,2,1122,5,4,2010
39,2,1123,5,4,2010
40,2,1123,5,4,2010
41,2,1123,5,4,2010
42,2,1124,5,4,2010
43,2,1125,5,4,2010
44,2,1125,5,4,2010
45,2,1127,5,4,2010
46,2,1130,5,4,2010
47,2,1130,5,4,2010
48,2,1130,5,4,2010
49,2,1131,5,4,2010
50,2,1132,5,4,2010
51,2,1132,5,4,2010
52,2,1133,5,4,2010
53,2,1133,5,4,2010
54,2,1133,5,4,2010
55,2,1134,5,4,2010
56,2,1134,5,4,2010
57,2,1137,5,4,2010
58,2,1137,5,4,2010
59,2,1138,5,4,2010
60,2,1139,5,4,2010
61,2,1139,5,4,2010
62,2,1139,5,4,2010
63,2,1140,5,4,2010
64,2,1141,5,4,2010
65,2,1141,5,4,2010
66,2,1144,5,4,2010
67,2,1144,5,4,2010
68,2,1145,5,4,2010
69,2,1146,5,4,2010
70,2,1146,5,4,2010
71,2,1146,5,4,2010
72,2,1147,5,4,2010
73,2,1149,5,4,2010
74,2,1149,5,4,2010
75,2,1149,5,4,2010
76,2,1149,5,4,2010
77,2,1150,5,4,2010
78,2,1150,5,4,2010
79,2,1151,5,4,2010
80,2,1151,5,4,2010
81,2,1151,5,4,2010
82,2,1151,5,4,2010
83,2,1152,5,4,2010
84,2,1152,5,4,2010
85,2,1154,5,4,2010
86,2,1154,5,4,2010
87,2,1154,5,4,2010
88,2,1154,5,4,2010
89,2,1157,5,4,2010
90,2,1158,5,4,2010
91,2,1159,5,4,2010
92,2,1159,5,4,2010
93,2,1159,5,4,2010
94,2,1159,5,4,2010
95,2,1159,5,4,2010
96,2,1160,5,4,2010
97,2,1160,5,4,2010
98,2,1161,5,4,2010
99,2,1161,5,4,2010
100,2,1161,5,4,2010
101,2,1163,5,4,2010
102,2,1163,5,4,2010
103,2,1164,5,4,2010
104,2,1164,5,4,2010
105,2,1164,5,4,2010
106,2,1164,5,4,2010
107,2,1165,5,4,2010
108,2,1165,5,4,2010
109,2,1165,5,4,2010
110,2,1166,5,4,2010
111,2,1166,5,4,2010
112,2,1166,5,4,2010
113,2,1166,5,4,2010
114,2,1168,5,4,2010
115,2,1168,5,4,2010
116,2,1168,5,4,2010
117,2,1169,5,4,2010
118,2,1169,5,4,2010
119,2,1169,5,4,2010
120,2,1170,5,4,2010
121,2,1170,5,4,2010
122,2,1170,5,4,2010
123,2,1171,5,4,2010
124,2,1172,5,4,2010
125,2,1172,5,4,2010
126,2,1172,5,4,2010
127,2,1172,5,4,2010
128,2,1173,5,4,2010
129,2,1173,5,4,2010
130,2,1173,5,4,2010
131,2,1173,5,4,2010
132,2,1174,5,4,2010
133,2,1174,5,4,2010
134,2,1174,5,4,2010
135,2,1175,5,4,2010
136,2,1175,5,4,2010
137,2,1176,5,4,2010
138,2,1176,5,4,2010
139,2,1176,5,4,2010
140,2,1177,5,4,2010
141,2,1177,5,4,2010
142,2,1177,5,4,2010
143,2,1178,5,4,2010
144,2,1178,5,4,2010
145,2,1179,5,4,2010
146,2,1180,5,4,2010
147,2,1180,5,4,2010
148,2,1180,5,4,2010
149,2,1181,5,4,2010
150,2,1181,5,4,2010
151,2,1182,5,4,2010
152,2,1182,5,4,2010
153,2,1183,5,4,2010
154,2,1184,5,4,2010
155,2,1184,5,4,2010
156,2,1184,5,4,2010
157,2,1184,5,4,2010
158,2,1185,5,4,2010
159,2,1186,5,4,2010
160,2,1186,5,4,2010
161,2,1186,5,4,2010
162,2,1187,5,4,2010
163,2,1189,5,4,2010
164,2,1189,5,4,2010
165,2,1189,5,4,2010
166,2,1189,5,4,2010
167,2,1189,5,4,2010
168,2,1190,5,4,2010
169,2,1190,5,4,2010
170,2,1190,5,4,2010
171,2,1191,5,4,2010
172,2,1191,5,4,2010
173,2,1191,5,4,2010
174,2,1191,5,4,2010
175,2,1191,5,4,2010
176,2,1192,5,4,2010
177,2,1192,5,4,2010
178,2,1193,5,4,2010
179,2,1194,5,4,2010
180,2,1194,5,4,2010
181,2,1194,5,4,2010
182,2,1195,5,4,2010
183,2,1195,5,4,2010
184,2,1195,5,4,2010
185,2,1196,5,4,2010
186,2,1196,5,4,2010
187,2,1197,5,4,2010
188,2,1199,5,4,2010
189,2,1199,5,4,2010
190,2,1201,5,4,2010
191,2,1201,5,4,2010
192,2,1202,5,4,2010
193,2,1202,5,4,2010
194,2,1202,5,4,2010
195,2,1203,5,4,2010
196,2,1203,5,4,2010
197,2,1204,5,4,2010
198,2,1204,5,4,2010
199,2,1205,5,4,2010
200,2,1205,5,4,2010
201,2,1206,5,4,2010
202,2,1207,5,4,2010
203,2,1208,5,4,2010
204,2,1209,5,4,2010
205,2,1210,5,4,2010
206,2,1210,5,4,2010
207,2,1210,5,4,2010
208,2,1213,5,4,2010
209,2,1214,5,4,2010
210,2,1214,5,4,2010
211,2,1215,5,4,2010
212,2,1215,5,4,2010
213,2,1216,5,4,2010
214,2,1216,5,4,2010
215,2,1216,5,4,2010
216,2,1216,5,4,2010
217,2,1216,5,4,2010
218,2,1218,5,4,2010
219,2,1219,5,4,2010
220,2,1219,5,4,2010
221,2,1219,5,4,2010
222,2,1220,5,4,2010
223,2,1221,5,4,2010
224,2,1222,5,4,2010
225,2,1223,5,4,2010
226,2,1223,5,4,2010
227,2,1224,5,4,2010
228,2,1224,5,4,2010
229,2,1224,5,4,2010
230,2,1226,5,4,2010
231,2,1226,5,4,2010
232,2,1227,5,4,2010
233,2,1228,5,4,2010
234,2,1228,5,4,2010
235,2,1228,5,4,2010
236,2,1229,5,4,2010
237,2,1230,5,4,2010
238,2,1231,5,4,2010
239,2,1231,5,4,2010
240,2,1232,5,4,2010
241,2,1232,5,4,2010
242,2,1236,5,4,2010
243,2,1239,5,4,2010
244,2,1240,5,4,2010
245,2,1241,5,4,2010
246,2,1241,5,4,2010
247,2,1243,5,4,2010
248,2,1243,5,4,2010
249,2,1244,5,4,2010
250,2,1245,5,4,2010
251,2,1246,5,4,2010
252,2,1247,5,4,2010
253,2,1248,5,4,2010
254,2,1249,5,4,2010
255,2,1253,5,4,2010
256,2,1256,5,4,2010
257,2,1256,5,4,2010
258,2,1260,5,4,2010
259,2,1263,5,4,2010
260,2,1265,5,4,2010
261,2,1265,5,4,2010
262,2,1266,5,4,2010
263,2,1267,5,4,2010
264,2,1268,5,4,2010
265,2,1269,5,4,2010
266,2,1271,5,4,2010
267,2,1271,5,4,2010
268,2,1275,5,4,2010
269,2,1279,5,4,2010
270,2,1281,5,4,2010
